t X Y Z U V W
0.00 -13.43070444095109 6.459819828297015 2.921054095192475 62.24441343367818 208.7595178964158 -23.26419995078171
1.00 -13.36563023397454 6.672625578713234 2.896662456584469 65.01279851941959 207.4027912885819 -24.43533156804392
2.00 -13.29773634826635 6.884023667141165 2.871077561416872 67.75860016741085 206.0067368800046 -25.5977444587967
3.00 -13.22704605055237 7.093974125560062 2.844308391764957 70.48148575399543 204.5718472280453 -26.75131104583547
4.00 -13.1535829429798 7.302437488244033 2.816364058452055 73.18113189637467 203.0986120504426 -27.89590710284472
5.00 -13.0773709538106 7.509374788777675 2.787253797684868 75.85722417144356 201.5875180702071 -29.03141163244277
6.00 -12.99843432840174 7.714747556919109 2.756986967814354 78.50945683585381 200.0390488722849 -30.15770674251932
7.00 -12.91679762047103 7.918517815322319 2.725573046224018 81.13753254756357 198.4536847716855 -31.27467752065948
8.00 -12.83248568364684 8.120648076130347 2.693021626347763 83.74116208911468 196.8319026927671 -32.38221190639132
9.00 -12.74552366329989 8.321101337450637 2.659342414819604 86.32006409285258 195.1741760593836 -33.48020056092893
10.00 -12.65593698865486 8.519841079723451 2.624545228758052 88.8739647682867 193.4809746956008 -34.56853673400516
11.00 -12.56375136517985 8.716831261994017 2.588639993188388 91.40259763176533 191.7527647367028 -35.64711612729984
12.00 -12.46899276725087 8.912036318098838 2.551636738606598 93.90570323862204 189.9900085502165 -36.71583675386109
13.00 -12.37168743108902 9.105421152776236 2.513545598689427 96.38302891792726 188.1931646666979 -37.77459879279085
14.00 -12.27186184796752 9.296951137710991 2.474376808155838 98.83432850996248 186.3626877200357 -38.82330443831424
15.00 -12.16954275768586 9.486592107522696 2.434140700786136 101.2593621065109 184.4990283970487 -39.86185774216794
16.00 -12.06475714230794 9.674310355707256 2.39284770760624 103.6578957940433 182.6026333961679 -40.89016444802208
17.00 -11.95753222016154 9.860072630540646 2.350508355246014 106.0297013998539 180.6739453950232 -41.90813181637807
18.00 -11.84789544009568 10.0438461309541 2.307133264482327 108.3745562411829 178.7134030267759 -42.91566843805523
19.00 -11.73587447599317 10.2255985023894 2.262733148979652 110.6922428773397 176.7214408650727 -43.91268403396823
20.00 -11.62149722153511 10.4052978326432 2.217318814243618 112.9825488648189 174.6984894175287 -44.89908923839323
21.00 -11.50479178521418 10.58291264770904 2.170901156806079 115.2452665153783 172.6449751276942 -45.87479536228725
22.00 -11.38578648559402 10.75841190762567 2.123491163664209 117.4801926570174 170.5613203855074 -46.83971413243474
23.00 -11.26450984681155 10.93176500234052 2.075099912000888 119.68712839777 168.4479435462968 -47.7937574011947
24.00 -11.14099059431942 11.10294174759682 2.025738569219681 121.8658788921883 166.3052589584675 -48.73683682035229
25.00 -11.01525765086597 11.27191238085382 1.9754183933351 124.0162531103551 164.1336770000972 -49.66886347095529
26.00 -10.88734013271032 11.438647557249 1.924150733768163 126.1380636092174 161.9336041247764 -50.58974743892282
27.00 -10.75726734607009 11.60311834561203 1.871947032609101 128.2311263059766 159.7054429171602 -51.49939732350278
28.00 -10.62506878380008 11.76529622454088 1.818818826423919 130.2952602531994 157.4495921588693 -52.39771966210482
29.00 -10.49077412230016 11.92515307855095 1.764777748700719 132.3302874152339 155.1664469055957 -53.28461825036248
30.00 -10.35441321865139 12.08266119430916 1.709835533056294 134.3360324453995 152.8563985765341 -54.15999333006165
31.00 -10.21601610797992 12.23779325696654 1.654004017355584 136.3123224632872 150.5198350576206 -55.02374060923474
32.00 -10.07561300104886 12.39052234660416 1.597295148938529 138.2589868313252 148.1571408205153 -55.87575006742791
33.00 -9.933234282079587 12.54082193480995 1.53972099120442 140.17585692953 145.7686970598692 -56.71590448369289
34.00 -9.788910506804781 12.68866588140651 1.481293731878049 142.0627659270502 143.3548818522239 -57.54407760347684
35.00 -9.642672400757634 12.83402843135444 1.422025693382103 143.9195485486969 140.9160703409731 -58.36013183066157
36.00 -9.494550857803265 12.97688421186051 1.36192934587699 145.7460408340787 138.4526349532878 -59.16391528860317
37.00 -9.344576938921602 13.11720822972733 1.301017323718198 147.5420798861823 135.9649456569516 -59.95525803314042
38.00 -9.192781871254548 13.25497586899057 1.239302446345696 149.3075036051416 133.4533702678839 -60.73396711186493
39.00 -9.039197047435323 13.39016288890259 1.176797744995145 151.0421504013943 130.9182748231787 -61.49982003282109
40.00 -8.883854025225094 13.52274542233973 1.113516497161223 152.7458588801966 128.3600240402838 -62.25255600871731
41.00 -8.726784527491432 13.65269997473505 1.049472271534739 154.4184674862226 125.7789818914603 -62.99186404129984
42.00 -8.568020442577298 13.78000342367464 0.9846789873138623 156.0598140921491 123.1755123353198 -63.71736644085692
43.00 -8.407593825128975 13.90463301934746 0.9191509935784409 157.6697355078354 120.549980266467 -64.42859562930501
44.00 -8.245536897480664 14.02656638611477 0.8529031771854634 159.2480668754464 117.9027527740417 -65.1249608636879
45.00 -8.081882051737391 14.14578152558078 0.7859511120228351 160.7946408981632 115.2342008470608 -65.80569950697607
46.00 -7.916661852764529 14.2622568217227 0.7183112695411514 162.3092868216179 112.5447017406832 -66.46980406387226
47.00 -7.749909042397212 14.37597104891627 0.6500013222055785 163.791829040353 109.8346423437942 -67.11591029112374
48.00 -7.581656545349951 14.48690338414117 0.5810405913587389 165.2420851229658 107.1044241023285 -67.74212126083287
49.00 -7.411937477580397 14.59503342538878 0.5114507252813267 166.6598629153273 104.3544704230796 -68.34572363633905
50.00 -7.240785158317089 14.70034121954245 0.4412567532763591 168.0449561500826 101.5852381323093 -68.92271942600948
51.00 -7.068233127729454 14.80280730513739 0.3704887662260343 169.3971375982132 98.79723569869353 -69.46704103371101
52.00 -6.894315173500861 14.9024127790721 0.2991846475876008 170.7161481783837 95.99105282247095 -69.96924092015944
53.00 -6.719065371575717 14.99913940236269 0.2273945176172548 172.0016796909192 93.16740862879197 -70.41442177548871
54.00 -6.54251814884784 15.09296976843854 0.1551876582453512 173.2533489688303 90.32722699264944 -70.779571827425
55.00 -6.364708375969325 15.18388756285985 0.08266172534106347 174.4706662796505 87.47173751060492 -71.03241027732288
56.00 -6.185671487686666 15.27187792294953 0.009949871916496638 175.6530189650362 84.60255589259127 -71.13796852074189
57.00 -6.005443592983649 15.35692781996356 -0.0627853045993766 176.7997158433616 81.72162435737627 -71.07733750295843
58.00 -5.824061497819759 15.43902626865746 -0.1353774561955201 177.9101087219221 78.83093926054994 -70.86274988670849
