!prob.|identifier|coord1 (ICRS,J2000)|plx|radvel|Mag U|Mag B|Mag V|Mag R|Mag G|Mag I|Mag J|Mag H|Mag K|spec. type
!------|-----------------------------------|---------------------------------------|---------|-------------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------------
100|[BVM98] M 67 54|08 51 04.43 +11 41 51.6|~|~|~|21.02|19.36|~|~|~|~|~|~|~
100|Cl* NGC 2682 FBC 1731|08 50 14.5976096856 +12 01 44.904654660|1.2557|~|~|~|~|~|17.703156|~|15.527|14.934|14.809|K4
0|Cl* NGC 2682 FBC 1741|08 50 15.1234907880 +12 10 28.494682824|~|~|~|~|15.591|~|15.423696|~|12.740|12.10|11.931|~
100|Cl* NGC 2682 FBC 1746|08 50 15.2610965391 +12 05 06.053034672|1.0445|32.263664|~|~|~|~|16.610279|~|14.88|14.22|14.15|~
100|Cl* NGC 2682 FBC 1750|08 50 15.4873941912 +12 09 16.018109892|1.1467|~|~|~|~|~|16.781284|~|14.99|14.32|14.16|~
100|Cl* NGC 2682 FBC 1753|08 50 15.5589786912 +11 48 12.859511436|1.2401|~|~|~|~|~|17.626860|~|15.52|14.69|14.76|~
100|Cl* NGC 2682 FBC 1756|08 50 15.6846769752 +11 47 58.142443092|1.3837|~|~|~|~|~|18.968925|~|16.165|15.577|15.535|~
100|Cl* NGC 2682 FBC 1760|08 50 15.9657940992 +11 33 58.319199252|2.8278|-25.282801|~|~|~|~|15.811581|~|13.755|13.079|12.91|M1.5
100|Cl* NGC 2682 FBC 1778|08 50 16.6023833610 +11 24 12.482105066|0.5975|~|~|~|~|~|20.134840|~|~|~|~|~
100|Cl* NGC 2682 FBC 1781|08 50 16.9631552904 +12 27 01.411216560|1.1833|35.2|~|~|13.709|13.561|13.578494|~|12.686|12.402|12.380|~
0|Cl* NGC 2682 FBC 1798|08 50 17.78 +11 23 42.7|~|13.05|~|16.24|15.725|~|~|~|14.269|13.924|13.982|~
100|Cl* NGC 2682 FBC 18|08 48 12.0958311048 +12 28 55.711123212|0.232|78.002403|~|~|~|~|13.640849|~|12.100|11.562|11.445|~
100|Cl* NGC 2682 FBC 1801|08 50 18.0238915032 +11 58 24.237300288|2.034|~|~|~|~|~|15.909378|~|13.934|13.286|13.144|~
100|Cl* NGC 2682 FBC 1808|08 50 18.5632060200 +11 26 57.599828448|4.6293|0.138701|~|~|~|~|15.443903|~|12.970|12.236|12.042|M1.6
100|Cl* NGC 2682 FBC 1810|08 50 18.6947521488 +12 03 02.487161556|0.7165|~|~|~|~|~|19.224081|~|16.647|15.977|~|~
100|Cl* NGC 2682 FBC 1816|08 50 19.0272826944 +12 05 50.398419624|1.1882|34.62|~|17.4|16.350|~|16.028463|~|14.50|14.02|13.78|~
100|Cl* NGC 2682 FBC 1818|08 50 19.0474538856 +11 32 17.816643636|1.1315|~|~|~|~|~|16.207754|~|14.60|14.06|13.88|~
100|Cl* NGC 2682 FBC 1821|08 50 19.2827300760 +12 01 19.537404960|1.2357|~|~|~|~|~|18.478069|~|15.87|15.29|14.98|~
100|Cl* NGC 2682 FBC 1825|08 50 19.4860318272 +12 11 31.632834480|0.8417|~|~|~|~|~|17.634897|~|15.50|14.84|14.49|~
100|Cl* NGC 2682 FBC 1830|08 50 19.7389990680 +11 37 50.266532460|0.7665|~|~|~|~|~|19.710995|~|~|~|~|~
100|Cl* NGC 2682 FBC 1831|08 50 19.8033918000 +12 08 00.702718872|1.1705|~|~|~|~|~|18.064199|~|15.80|15.02|14.93|~
100|Cl* NGC 2682 FBC 1833|08 50 19.9053478680 +11 18 24.923630700|0.8559|~|~|~|~|~|19.295954|~|16.800|16.010|15.304|~
0|Cl* NGC 2682 FBC 1837|08 50 19.9566617424 +11 44 35.242295892|0.5677|-9.35|~|16.86|16.090|~|15.913510|~|14.77|14.43|14.39|~
100|Cl* NGC 2682 FBC 1841|08 50 20.1274671672 +11 54 18.273760992|1.2837|~|~|~|~|~|17.738438|~|15.61|14.79|14.71|~
100|Cl* NGC 2682 FBC 1845|08 50 20.2847784600 +11 37 10.622677620|1.3146|~|~|~|~|~|16.752729|~|14.65|13.94|13.84|~
100|Cl* NGC 2682 FBC 1862|08 50 21.0441978504 +11 42 31.960950624|0.883|~|~|~|~|~|18.445478|~|16.09|15.37|15.13|~
100|Cl* NGC 2682 FBC 1889|08 50 21.9503880960 +11 48 14.470513236|1.1198|~|~|~|~|~|19.679655|~|~|~|~|~
100|Cl* NGC 2682 FBC 1892|08 50 22.1361448752 +12 01 27.300818208|0.7691|~|~|~|~|~|19.224308|~|16.894|15.815|16.031|~
100|Cl* NGC 2682 FBC 1893|08 50 22.1564562960 +11 33 53.822987892|1.2658|~|~|~|~|~|18.168472|~|15.83|15.29|14.99|~
100|Cl* NGC 2682 FBC 1896|08 50 22.2178183032 +11 38 11.636308968|1.2452|~|~|~|~|~|18.087387|~|15.823|15.298|14.970|~
100|Cl* NGC 2682 FBC 1904|08 50 22.6517368008 +11 42 35.534707740|0.7572|~|~|~|~|~|17.294809|~|15.75|15.14|14.84|~
100|Cl* NGC 2682 FBC 1914|08 50 22.8606768240 +11 49 48.005305140|0.9903|~|~|~|~|~|16.686607|~|14.74|14.16|14.03|~
100|Cl* NGC 2682 FBC 1915|08 50 22.8877675704 +12 00 56.097080424|1.5221|~|~|~|~|~|19.857718|~|~|~|~|~
100|Cl* NGC 2682 FBC 1926|08 50 23.3073629952 +11 11 10.123745388|1.7328|26.281700|~|~|~|~|14.565335|~|13.239|12.833|12.722|~
100|Cl* NGC 2682 FBC 1930|08 50 23.4753261504 +11 39 39.304619892|1.2065|~|~|~|~|~|19.229483|~|16.52|16.11|15.84|~
100|Cl* NGC 2682 FBC 1931|08 50 23.5420610232 +11 54 48.643778052|1.6796|~|~|~|~|~|19.385796|~|16.671|16.048|15.758|~
100|Cl* NGC 2682 FBC 1935|08 50 23.7136575912 +12 16 28.218739116|1.0678|~|~|~|~|~|17.511879|~|15.18|14.50|14.43|~
47|Cl* NGC 2682 FBC 1940|08 50 24.0129669960 +11 12 39.768358608|0.7023|~|~|~|15.089|~|14.733969|~|13.739|13.412|13.355|~
100|Cl* NGC 2682 FBC 1946|08 50 24.3472875336 +11 46 20.498365776|1.0774|~|~|~|~|~|19.369055|~|16.64|15.93|~|~
100|Cl* NGC 2682 FBC 1965|08 50 25.2969345384 +12 04 39.246001644|1.1336|~|~|~|~|~|16.909548|~|15.02|14.39|14.14|~
0|Cl* NGC 2682 FBC 1981|08 50 26.0207577672 +11 29 09.278346480|0.5795|16.075|~|17.05|16.290|~|16.077852|~|14.93|14.58|14.42|~
100|Cl* NGC 2682 FBC 1991|08 50 26.5644426360 +11 54 32.454952596|1.0521|~|~|~|~|~|17.888680|~|15.64|14.83|14.71|~
100|Cl* NGC 2682 FBC 2000|08 50 26.8699425408 +11 58 44.971540752|0.9584|~|~|~|~|~|18.819906|~|16.302|15.869|15.267|~
100|Cl* NGC 2682 FBC 2001|08 50 26.9700726720 +11 38 52.027799892|1.3776|~|~|~|~|~|19.121086|~|16.393|15.680|15.485|~
100|Cl* NGC 2682 FBC 2003|08 50 27.0066620784 +11 26 25.788960996|1.2885|~|~|~|~|~|19.034582|~|16.608|15.848|15.412|~
100|Cl* NGC 2682 FBC 2014|08 50 27.3384953496 +11 37 32.176480044|0.9746|~|~|~|~|~|18.691711|~|16.123|15.341|15.184|~
100|Cl* NGC 2682 FBC 2015|08 50 27.3637447200 +11 34 43.110218676|1.2464|~|~|~|~|~|16.989664|~|14.94|14.27|14.10|~
100|Cl* NGC 2682 FBC 2018|08 50 27.4807498176 +11 34 20.852809500|1.136|~|~|~|~|~|18.204798|~|15.846|15.143|14.875|~
100|Cl* NGC 2682 FBC 2031|08 50 28.6887548136 +11 53 30.072144660|1.2614|~|18.978|17.892|16.814|~|16.363602|~|~|~|~|~
100|Cl* NGC 2682 FBC 2035|08 50 28.9212299952 +11 50 29.132289132|1.2682|~|~|19.549|18.133|~|17.443262|16.441|~|~|~|~
100|Cl* NGC 2682 FBC 2036|08 50 28.9407610776 +11 55 12.077970024|1.143|~|~|19.983|18.576|~|17.799356|~|~|~|~|~
100|Cl* NGC 2682 FBC 2041|08 50 29.0527740312 +11 48 23.685734160|1.1212|~|~|20.875|19.400|~|18.527672|~|~|~|~|~
100|Cl* NGC 2682 FBC 2049|08 50 29.2285544904 +11 46 15.576751020|1.4517|~|~|21.326|19.868|~|18.861147|17.684|~|~|~|~
100|Cl* NGC 2682 FBC 2062|08 50 29.6768333016 +12 25 43.479896052|9.0931|~|~|~|~|~|15.500093|~|12.776|12.194|11.930|M3.3
100|Cl* NGC 2682 FBC 2064|08 50 29.7563594184 +11 30 12.589897716|1.1885|~|~|~|~|~|17.803898|~|15.71|14.98|14.85|~
100|Cl* NGC 2682 FBC 2079|08 50 30.6293049120 +11 44 51.468936612|1.3926|~|~|~|~|~|19.561165|~|17.036|16.227|15.769|~
100|Cl* NGC 2682 FBC 2081|08 50 30.7015284048 +11 56 01.592022408|1.1342|~|~|~|~|~|19.466446|~|16.753|16.173|15.835|~
100|Cl* NGC 2682 FBC 2088|08 50 31.0487533344 +11 51 16.335892620|1.1727|~|19.118|18.029|16.895|~|16.481094|15.597|~|~|~|~
100|Cl* NGC 2682 FBC 2091|08 50 31.2494548536 +11 53 27.793434660|1.1975|~|19.446|18.332|17.165|~|16.694410|~|~|~|~|~
100|Cl* NGC 2682 FBC 2093|08 50 31.2810346200 +11 43 20.971530120|0.9674|~|~|20.503|19.132|~|18.302322|17.124|15.798|15.208|14.933|~
100|Cl* NGC 2682 FBC 2111|08 50 31.8099212880 +12 06 43.691934744|1.2587|~|~|~|~|~|17.165012|~|15.08|14.45|14.25|~
100|Cl* NGC 2682 FBC 2112|08 50 31.8512497248 +11 30 07.580338092|1.106|36.4|~|16.53|15.794|~|15.386318|~|14.065|13.638|13.626|K1
100|Cl* NGC 2682 FBC 2120|08 50 32.1754137360 +12 04 50.985262236|0.7716|~|~|~|~|~|19.465914|~|16.80|~|~|~
100|Cl* NGC 2682 FBC 2132|08 50 32.8028272992 +12 05 08.837102220|1.0002|~|~|~|~|~|16.493284|~|~|~|~|~
100|Cl* NGC 2682 FBC 2135|08 50 32.9481361224 +11 54 39.021315480|1.8267|~|~|~|~|~|19.373857|~|16.54|16.24|~|~
100|Cl* NGC 2682 FBC 2136|08 50 32.9548840200 +12 08 23.631964152|8.4209|12.148900|~|17.51|16.35|15.36|15.042131|13.61|12.028|11.429|11.131|M3.2
100|Cl* NGC 2682 FBC 2138|08 50 33.0934464504 +11 43 58.793887416|1.0756|~|~|~|~|~|19.432981|~|~|~|~|~
100|Cl* NGC 2682 FBC 2141|08 50 33.1660451976 +11 33 12.007367496|1.5321|~|~|~|~|~|19.279547|~|16.830|15.980|15.828|~
100|Cl* NGC 2682 FBC 2169|08 50 34.2978178752 +11 54 11.786913756|1.1064|~|~|19.711|18.305|~|17.611193|~|15.537|14.705|14.713|~
100|Cl* NGC 2682 FBC 2170|08 50 34.3305235848 +11 46 35.252188356|1.3637|~|20.758|19.887|18.491|~|17.813278|16.664|15.620|14.909|14.709|~
100|Cl* NGC 2682 FBC 2171|08 50 34.3767348360 +11 31 50.260259964|1.0486|~|~|~|~|~|17.431898|~|15.17|14.59|14.28|~
100|Cl* NGC 2682 FBC 2181|08 50 34.7994554400 +11 34 28.422694812|1.1834|34.71|~|17.37|16.350|~|16.020010|~|14.505|13.97|13.90|~
100|Cl* NGC 2682 FBC 2185|08 50 35.0355081696 +11 53 54.503904588|1.1376|~|19.472|18.238|17.047|~|16.568991|~|14.727|14.091|13.934|~
100|Cl* NGC 2682 FBC 219|08 48 42.2368207080 +11 02 34.869103296|1.1161|~|~|~|~|~|16.647924|~|14.937|14.245|14.101|~
100|Cl* NGC 2682 FBC 2207|08 50 36.1107345771 +11 37 05.999679618|1.1289|34.24|17.958|17.18|16.200|~|15.931817|15.135|14.42|13.89|13.82|~
100|Cl* NGC 2682 FBC 2211|08 50 36.2002934160 +11 36 57.787780356|1.0466|~|~|20.240|18.715|~|17.986280|16.807|15.645|15.058|14.847|~
100|Cl* NGC 2682 FBC 2221|08 50 36.9152595120 +11 56 43.809704628|0.9881|~|~|20.386|18.982|~|18.167149|~|15.781|15.379|15.009|~
0|Cl* NGC 2682 FBC 2225|08 50 36.9723934536 +12 21 19.172361132|1.6872|~|~|~|15.712|~|15.484298|~|13.981|13.399|13.36|~
100|Cl* NGC 2682 FBC 2228|08 50 37.1011155384 +11 55 51.265556508|1.7311|~|~|~|~|~|19.620539|~|16.93|16.16|16.19|~
100|Cl* NGC 2682 FBC 2233|08 50 37.1816162016 +12 01 22.772675316|1.158|34.40|17.850|17.07|16.150|~|15.813196|~|~|~|~|~
100|Cl* NGC 2682 FBC 2247|08 50 37.8496142016 +11 45 35.515134756|1.2308|~|18.738|17.761|16.669|~|16.308594|15.452|14.659|14.198|14.109|~
100|Cl* NGC 2682 FBC 2249|08 50 37.9030227168 +11 55 35.181995880|1.2309|~|~|21.402|19.693|~|18.783142|~|16.266|15.578|15.320|~
100|Cl* NGC 2682 FBC 225|08 48 42.6106466376 +12 13 22.431740952|1.0152|~|~|~|~|~|17.917612|~|15.64|14.92|14.81|~
100|Cl* NGC 2682 FBC 2252|08 50 38.0160292752 +11 37 51.839177880|1.5063|~|~|~|~|~|19.376398|~|16.582|16.056|16.072|~
100|Cl* NGC 2682 FBC 2253|08 50 38.0488031448 +11 44 25.457835660|1.1848|33.34|18.150|17.32|16.330|~|16.021338|15.216|~|~|~|~
100|Cl* NGC 2682 FBC 2257|08 50 38.1930154032 +11 45 22.152468204|1.1202|~|19.686|18.517|17.260|~|16.767925|15.830|14.985|14.368|14.261|~
100|Cl* NGC 2682 FBC 2264|08 50 38.5266199484 +11 42 46.887511752|0.1462|~|18.936|18.629|17.866|~|17.655268|16.891|16.523|15.844|15.637|~
100|Cl* NGC 2682 FBC 2269|08 50 38.7302864880 +12 06 54.601973136|1.1587|~|~|~|~|~|17.647688|~|15.654|14.810|14.663|~
100|Cl* NGC 2682 FBC 2285|08 50 39.7650813312 +11 45 50.815034568|1.0453|~|~|20.708|19.095|~|18.285435|17.145|15.883|15.255|14.975|~
100|Cl* NGC 2682 FBC 2286|08 50 39.7818075000 +11 30 18.356010984|1.1457|~|~|~|~|~|16.619219|~|14.74|14.13|13.88|~
100|Cl* NGC 2682 FBC 2287|08 50 39.8990464944 +11 39 25.427458476|1.0059|~|~|21.819|20.124|~|19.109039|17.868|~|~|~|~
100|Cl* NGC 2682 FBC 2291|08 50 40.0603045152 +12 11 06.933257592|1.0573|~|~|~|~|~|18.920906|~|16.34|15.60|15.45|~
100|Cl* NGC 2682 FBC 2296|08 50 40.2344645616 +12 18 59.433329736|1.1522|~|~|~|~|~|17.575953|~|15.38|14.70|14.37|~
100|Cl* NGC 2682 FBC 2298|08 50 40.3042787736 +11 40 53.418010404|1.0256|~|20.323|19.169|17.779|~|17.229115|~|15.255|14.546|14.412|~
100|Cl* NGC 2682 FBC 2300|08 50 40.3375330368 +11 42 26.062282796|0.6593|~|~|21.620|20.004|~|18.978491|17.815|~|~|~|~
100|Cl* NGC 2682 FBC 2306|08 50 40.4884425048 +11 37 23.938886568|1.2158|~|~|20.132|18.599|~|17.890221|16.780|15.624|15.002|14.697|~
100|Cl* NGC 2682 FBC 2310|08 50 40.6789187448 +11 53 59.385920244|1.1824|~|19.794|18.494|17.311|~|16.775558|~|14.839|14.249|14.126|~
100|Cl* NGC 2682 FBC 2323|08 50 41.1009926640 +11 45 33.280791264|1.1402|~|~|20.627|19.147|~|18.191492|16.961|15.726|15.033|14.652|~
100|Cl* NGC 2682 FBC 2328|08 50 41.2377249240 +11 37 59.111372316|1.1235|~|21.189|20.223|18.749|~|17.851824|16.669|15.433|14.857|14.574|~
100|Cl* NGC 2682 FBC 2331|08 50 41.4671540760 +11 52 30.717801336|0.9569|~|~|19.107|17.815|~|17.211037|~|~|~|~|~
100|Cl* NGC 2682 FBC 2340|08 50 41.5792226760 +11 54 04.947728940|0.8731|~|~|20.225|18.716|~|17.782784|~|15.355|14.655|14.432|~
100|Cl* NGC 2682 FBC 2342|08 50 41.6817895944 +11 54 32.611882824|1.0704|~|19.759|18.442|17.269|~|16.775866|~|14.923|14.275|14.193|~
2|Cl* NGC 2682 FBC 2345|08 50 41.8888219896 +12 25 07.670168796|0.5464|~|~|~|15.765|~|15.677546|~|14.69|14.365|14.356|~
100|Cl* NGC 2682 FBC 2346|08 50 41.9483099616 +11 33 26.285837508|1.1352|~|~|~|~|~|17.401415|~|15.36|14.66|14.55|~
100|Cl* NGC 2682 FBC 2353|08 50 42.2999224992 +11 23 58.284074004|1.2325|~|~|~|~|~|19.290251|~|16.28|15.85|15.54|~
100|Cl* NGC 2682 FBC 2355|08 50 42.4157945280 +11 36 52.887556548|1.065|36.25|17.798|17.09|16.120|~|15.843108|15.003|~|~|~|~
100|Cl* NGC 2682 FBC 2362|08 50 42.5484992767 +11 52 27.250512125|1.1238|45.409563|18.943|17.933|16.843|~|16.429888|~|~|~|~|~
100|Cl* NGC 2682 FBC 2366|08 50 42.6185212440 +11 57 17.092905732|1.4373|~|~|21.142|19.587|~|18.579254|~|16.055|15.315|15.084|~
100|Cl* NGC 2682 FBC 2373|08 50 42.8293029984 +11 57 40.653307512|1.5966|~|~|21.707|20.237|~|19.139585|~|16.371|15.815|~|~
100|Cl* NGC 2682 FBC 2375|08 50 42.8381945424 +12 18 50.824800648|1.1908|~|~|~|~|~|17.233728|~|15.24|14.55|14.41|~
100|Cl* NGC 2682 FBC 2383|08 50 43.1247856944 +11 34 26.801372388|1.3401|~|~|~|~|~|18.473745|~|16.058|15.494|15.138|~
100|Cl* NGC 2682 FBC 2385|08 50 43.3322686992 +12 05 21.093914400|1.0729|~|~|~|~|~|18.088493|~|15.87|15.10|14.88|~
100|Cl* NGC 2682 FBC 2394|08 50 43.6587901692 +11 41 49.222020059|0.4722|~|18.187|17.801|16.984|~|16.802057|19.507|15.618|15.211|14.986|~
100|Cl* NGC 2682 FBC 2398|08 50 43.7330136439 +11 49 28.695689204|1.1431|~|~|~|~|~|19.848858|~|~|~|~|~
100|Cl* NGC 2682 FBC 2406|08 50 44.0231804616 +11 36 29.500360956|1.2375|~|~|20.499|19.114|~|18.290638|17.106|15.945|15.273|15.113|~
98|Cl* NGC 2682 FBC 2411|08 50 44.3893169160 +11 18 30.497866488|1.2252|~|~|~|~|~|18.760439|~|16.256|15.579|15.441|~
100|Cl* NGC 2682 FBC 2417|08 50 44.7990091224 +12 05 11.831895384|1.0653|~|~|~|~|~|17.737473|~|15.727|15.094|14.828|~
100|Cl* NGC 2682 FBC 2419|08 50 44.8523148024 +11 40 08.335160364|1.1369|34.23|18.290|17.4|16.370|~|16.064222|15.230|~|~|~|~
100|Cl* NGC 2682 FBC 2421|08 50 44.9363780592 +11 59 48.662846520|1.5002|~|~|21.139|19.653|~|18.696917|~|16.376|15.458|15.196|~
100|Cl* NGC 2682 FBC 2423|08 50 44.9689397688 +12 21 33.312473748|1.145|~|~|~|~|~|16.114237|~|14.54|13.99|13.92|~
100|Cl* NGC 2682 FBC 2427|08 50 45.0090278640 +11 46 18.423970932|1.5049|~|~|~|~|~|19.353443|~|16.327|15.569|15.754|~
100|Cl* NGC 2682 FBC 2429|08 50 45.1652666088 +12 12 32.536401012|1.1479|~|~|~|~|~|18.009321|~|15.53|14.86|14.62|~
100|Cl* NGC 2682 FBC 2432|08 50 45.2632587792 +12 29 54.074187456|1.1421|35.40|~|~|~|~|14.050236|~|13.022|12.744|12.694|~
100|Cl* NGC 2682 FBC 2438|08 50 45.3278437920 +12 02 04.271844912|0.8868|~|~|19.380|18.059|~|17.340679|~|15.309|14.615|14.404|~
100|Cl* NGC 2682 FBC 2444|08 50 45.4803932520 +11 55 19.815460500|1.4277|~|~|19.121|17.863|~|17.244299|~|~|~|~|~
100|Cl* NGC 2682 FBC 2448|08 50 45.6001588104 +11 56 03.362118684|1.133|~|~|18.792|17.573|~|16.981943|~|~|~|~|~
100|Cl* NGC 2682 FBC 2455|08 50 45.8387840040 +11 54 41.883718788|1.1188|~|19.086|17.959|16.780|~|16.292366|~|~|~|~|~
100|Cl* NGC 2682 FBC 2456|08 50 45.8605342776 +11 19 00.664878648|1.0086|~|~|~|~|~|18.761429|~|16.226|15.732|15.248|~
100|Cl* NGC 2682 FBC 2458|08 50 45.9363456072 +11 40 58.439148240|1.1879|~|~|20.175|18.536|~|17.782135|16.638|15.488|14.892|14.657|~
100|Cl* NGC 2682 FBC 2468|08 50 46.3748628384 +12 01 48.430750476|0.8181|~|~|~|~|~|19.450211|~|16.514|16.218|15.760|~
17|Cl* NGC 2682 FBC 2470|08 50 46.5177346800 +12 26 21.188648832|0.731|~|~|~|14.272|~|14.014540|~|12.946|12.639|12.594|~
100|Cl* NGC 2682 FBC 2474|08 50 46.6525896792 +11 33 16.601006664|0.9764|~|~|~|~|~|18.810486|~|16.24|15.51|14.99|~
100|Cl* NGC 2682 FBC 2475|08 50 46.8561690912 +12 10 41.527659540|1.2266|~|~|~|~|~|18.140129|~|15.72|15.25|15.01|~
61|Cl* NGC 2682 FBC 2485|08 50 47.1512071488 +11 52 32.957520960|0.9292|-15.76|17.618|17.01|15.815|~|15.878719|~|14.493|14.024|13.891|~
100|Cl* NGC 2682 FBC 2492|08 50 47.6502180936 +11 45 10.366494624|0.9923|~|18.701|17.735|16.598|~|16.160250|15.242|~|~|~|~
0|Cl* NGC 2682 FBC 2508|08 50 48.1192359696 +11 40 23.547880092|1.3572|-33.67|17.854|17.13|16.170|~|15.852759|15.040|~|~|~|~
100|Cl* NGC 2682 FBC 2510|08 50 48.1427645537 +12 07 07.514404091|1.0897|34.13|~|17.07|15.612|~|15.567408|~|13.953|13.387|13.245|~
100|Cl* NGC 2682 FBC 2511|08 50 48.1993524192 +12 15 00.524483352|1.22|~|~|~|~|~|17.938349|~|15.62|15.06|14.71|~
100|Cl* NGC 2682 FBC 2514|08 50 48.3813738504 +12 03 51.790227408|1.0006|~|~|~|~|~|18.219788|~|16.020|15.232|15.210|~
100|Cl* NGC 2682 FBC 2521|08 50 48.5543585664 +11 12 04.713063012|1.1456|~|~|~|~|~|17.501936|~|15.287|14.604|14.466|~
100|Cl* NGC 2682 FBC 2522|08 50 48.5984743152 +11 43 28.671592944|2.1453|~|~|~|~|~|19.247812|~|16.504|15.840|15.856|~
100|Cl* NGC 2682 FBC 2527|08 50 48.6603456456 +11 45 04.799073312|1.1052|~|~|20.197|18.700|~|17.884558|16.753|15.644|14.882|14.840|~
100|Cl* NGC 2682 FBC 2531|08 50 48.6991555656 +11 13 10.001691408|1.1749|~|~|~|~|~|16.286079|~|14.566|14.125|13.974|~
100|Cl* NGC 2682 FBC 2551|08 50 49.6042036440 +11 51 16.288798932|1.1229|37.06|18.786|17.65|16.440|~|15.971808|15.055|~|~|~|~
100|Cl* NGC 2682 FBC 2555|08 50 49.6743035760 +11 44 00.169764324|1.1148|32.71|18.482|17.56|16.490|~|16.086548|15.243|~|~|~|~
100|Cl* NGC 2682 FBC 2565|08 50 50.0201032416 +11 38 50.336323800|0.9986|~|20.391|19.440|17.966|~|17.197443|16.065|~|~|~|~
100|Cl* NGC 2682 FBC 2578|08 50 50.6904775344 +11 55 31.435540104|1.1962|33.43|18.052|17.2|16.196|~|15.870260|15.124|~|~|~|~
100|Cl* NGC 2682 FBC 2590|08 50 51.2046615024 +11 51 57.100142484|1.0359|~|~|19.760|18.330|~|17.682676|16.612|~|~|~|~
100|Cl* NGC 2682 FBC 2595|08 50 51.4203188503 +11 26 54.148278440|1.1446|35.561382|~|~|~|~|16.625620|~|14.79|14.17|14.09|~
100|Cl* NGC 2682 FBC 2599|08 50 51.5131143120 +12 06 03.758555772|0.9977|~|~|~|~|~|16.129448|~|14.51|13.849|13.69|~
0|Cl* NGC 2682 FBC 26|08 48 14.0769041328 +11 33 31.622134212|0.5736|-8.516000|~|~|~|~|13.792556|~|12.421|11.956|11.875|~
100|Cl* NGC 2682 FBC 2600|08 50 51.5118369840 +11 20 39.765923196|0.8503|~|~|~|~|~|18.984661|~|16.301|16.032|15.329|~
100|Cl* NGC 2682 FBC 2601|08 50 51.6509332968 +11 55 04.450532376|1.2527|~|20.062|18.804|17.503|~|16.931812|16.051|~|~|~|~
100|Cl* NGC 2682 FBC 2608|08 50 51.8473501248 +11 15 24.238806228|1.171|~|~|~|~|~|17.292961|~|15.259|14.490|14.380|~
100|Cl* NGC 2682 FBC 2611|08 50 51.9462815064 +11 59 11.664877524|0.2179|~|~|21.006|19.557|~|18.479988|~|~|~|~|~
0|Cl* NGC 2682 FBC 262|08 48 46.5103705944 +11 03 47.886797088|2.3091|9.374900|~|~|~|~|15.888519|~|13.906|13.218|13.108|M1.0
100|Cl* NGC 2682 FBC 2623|08 50 52.2373347024 +12 07 31.723349412|1.4679|~|~|~|~|~|18.785976|~|16.154|15.604|15.224|~
100|Cl* NGC 2682 FBC 2635|08 50 52.6867578744 +12 06 36.665400744|1.3269|~|~|~|~|~|19.915649|~|16.879|~|~|~
0|Cl* NGC 2682 FBC 2644|08 50 52.9747102368 +11 34 16.209813288|0.176|24.31|~|16.88|16.240|~|16.066261|~|14.89|14.55|14.52|~
100|Cl* NGC 2682 FBC 2650|08 50 53.0162774568 +11 44 02.505575256|1.0112|~|20.542|19.494|18.095|~|17.432917|16.424|15.377|14.721|14.563|~
100|Cl* NGC 2682 FBC 2690|08 50 54.4076062680 +12 00 32.960485620|1.1751|32.49|18.172|17.3|16.280|~|15.881221|~|~|~|~|~
100|Cl* NGC 2682 FBC 2694|08 50 54.5511118608 +12 10 03.474890184|1.1417|~|~|~|~|~|16.822769|~|15.004|14.359|14.253|~
100|Cl* NGC 2682 FBC 2695|08 50 54.5364614880 +12 03 30.553537716|9.8948|~|~|~|~|~|18.644491|~|15.050|14.545|14.107|~
100|Cl* NGC 2682 FBC 2697|08 50 54.6563152176 +11 36 40.775865048|1.1606|~|~|20.563|19.073|~|18.247952|17.053|15.810|15.215|14.919|~
100|Cl* NGC 2682 FBC 2699|08 50 54.7577497392 +11 35 18.844931652|1.1917|~|~|~|~|~|16.543694|~|14.86|14.18|14.11|~
100|Cl* NGC 2682 FBC 2700|08 50 54.7667257642 +11 44 14.194847863|1.1515|34.01|19.934|18.649|17.372|~|16.823189|15.906|14.953|14.262|14.209|~
100|Cl* NGC 2682 FBC 2707|08 50 55.0729859184 +11 57 15.886091664|0.7331|~|~|~|~|~|19.421598|~|16.82|16.18|15.67|~
100|Cl* NGC 2682 FBC 271|08 48 47.2159751328 +11 01 02.085275820|0.4298|22.293600|~|~|~|~|14.447330|~|12.966|12.446|12.396|~
100|Cl* NGC 2682 FBC 2713|08 50 55.3318592184 +11 41 39.815645964|1.119|~|~|19.146|17.807|~|17.226446|16.209|15.185|14.635|14.388|~
100|Cl* NGC 2682 FBC 2717|08 50 55.4601537696 +11 58 26.955182892|1.3347|~|~|20.327|18.779|~|17.943380|~|~|~|~|~
100|Cl* NGC 2682 FBC 2724|08 50 55.6534668312 +11 55 54.115969764|1.0483|~|20.597|19.382|17.913|~|17.282303|16.287|~|~|~|~
100|Cl* NGC 2682 FBC 2728|08 50 55.7145960096 +11 53 17.255908500|1.727|~|~|~|~|~|19.105272|~|16.33|16.11|15.76|~
100|Cl* NGC 2682 FBC 273|08 48 47.3642315424 +11 47 56.437635084|1.2155|~|~|~|~|~|18.581434|~|16.21|15.59|15.31|~
100|Cl* NGC 2682 FBC 2730|08 50 55.8120258984 +11 28 44.712523740|2.293|38.259800|~|17.44|16.190|~|15.580447|~|13.587|12.936|12.810|~
