!prob.|identifier|coord1 (ICRS,J2000)|plx|radvel|Mag U|Mag B|Mag V|Mag R|Mag G|Mag I|Mag J|Mag H|Mag K|spec. type
!------|-----------------------------------|---------------------------------------|---------|-------------|---------|---------|---------|---------|---------|---------|---------|---------|---------|---------------
100|[BVM98] M 67 54|08 51 04.43 +11 41 51.6|~|~|~|21.02|19.36|~|~|~|~|~|~|~
100|2MASS J08454976+1200275|08 45 49.7689641332 +12 00 27.535292487|0.8365|23.686001|~|~|~|~|13.675461|~|12.185|11.644|11.566|~
73|2MASS J08460472+1203157|08 46 04.7120796456 +12 03 15.727235940|0.9581|~|~|~|~|~|18.715319|~|16.371|15.528|15.485|~
100|2MASS J08460531+1035309|08 46 05.3294340744 +10 35 30.956644572|13.4209|41.633900|~|~|~|~|18.062666|~|14.438|13.789|13.502|M7V
100|2MASS J08461057+1321393|08 46 10.5712645585 +13 21 39.173249129|0.2763|1.295370|~|~|~|~|12.669677|~|11.008|10.367|10.264|~
100|2MASS J08462158+1152030|08 46 21.5818455525 +11 52 03.003225654|0.3392|-44.531502|~|~|~|~|14.996858|~|13.577|13.072|12.981|~
82|2MASS J08462519+1150063|08 46 25.2063124008 +11 50 06.312484932|1.3343|~|~|~|~|~|18.814581|~|16.400|15.460|15.251|~
100|2MASS J08462641+1240082|08 46 26.4096062913 +12 40 08.189069290|0.0793|129.848007|~|~|~|~|14.608586|~|12.779|12.103|11.948|~
100|2MASS J08462761+1036145|08 46 27.6186702858 +10 36 14.569227136|0.2225|92.585999|~|~|~|~|13.654099|~|12.057|11.571|11.424|~
100|2MASS J08463009+1109502|08 46 30.0922155624 +11 09 50.264688132|0.0695|~|~|~|~|~|13.980381|~|12.101|11.394|11.230|~
100|2MASS J08463140+1107466|08 46 31.4046309768 +11 07 46.599307428|0.2811|48.485699|~|~|~|~|13.570848|~|11.970|11.410|11.274|~
100|2MASS J08463240+1135002|08 46 32.4027255168 +11 35 00.238079832|0.7699|56.568100|~|~|~|~|11.153551|~|9.555|8.991|8.870|~
100|2MASS J08463601+1321471|08 46 36.0142896144 +13 21 47.030358024|0.4356|38.164200|~|~|~|~|12.423860|~|10.845|10.263|10.174|~
100|2MASS J08463698+1211544|08 46 36.9820146357 +12 11 54.376897475|2.9695|-6.450090|~|~|~|~|13.818667|~|12.290|11.782|11.740|~
100|2MASS J08464110+1309126|08 46 41.1176053271 +13 09 12.562485848|6.5545|18.050800|~|~|~|~|13.581613|~|11.533|10.867|10.726|M0.9
100|2MASS J08464143+1029565|08 46 41.4419328568 +10 29 56.663901770|0.2946|38.777500|~|~|~|~|14.301135|~|12.763|12.337|12.142|~
100|2MASS J08464245+1129439|08 46 42.4498271285 +11 29 43.928233308|0.4502|25.568100|~|~|~|~|12.280941|~|10.803|10.282|10.211|~
100|2MASS J08464564+1122450|08 46 45.6483756000 +11 22 44.938131780|0.033|218.026993|~|~|~|~|15.261004|~|13.709|13.164|13.051|G2
100|2MASS J08464592+1149555|08 46 45.9216545014 +11 49 55.521025406|4.3342|84.693298|~|~|~|~|13.835110|~|12.063|11.439|11.286|~
100|2MASS J08464635+1107273|08 46 46.35672 +11 07 27.3036|~|15.929600|~|~|~|~|~|~|13.661|13.037|12.856|~
100|2MASS J08465232+1113026|08 46 52.3179043800 +11 13 02.586442728|0.5846|50.325298|~|~|~|~|12.872742|~|11.430|10.927|10.840|~
100|2MASS J08465424+1147146|08 46 54.2404394448 +11 47 14.715877668|2.9159|28.9|~|~|~|~|14.779006|~|13.021|12.358|12.272|~
100|2MASS J08465835+1142474|08 46 58.3525331640 +11 42 47.450246652|0.2998|52.039001|~|~|~|~|12.399268|~|10.713|10.051|9.938|~
100|2MASS J08470209+1139026|08 47 02.0934364440 +11 39 02.639666268|0.6946|20.919300|~|12.51|11.42|~|11.246448|~|9.679|9.163|8.995|~
100|2MASS J08470383+1213279|08 47 03.8382495840 +12 13 27.893024652|0.3354|56.993801|~|~|~|~|13.140790|~|11.553|11.006|10.952|~
100|2MASS J08471039+1144260|08 47 10.3942580112 +11 44 26.135839932|3.1341|10.365700|~|~|~|~|15.199269|~|13.269|12.577|12.451|M1.2
74|2MASS J08471216+1238091|08 47 12.1600718544 +12 38 09.189944736|1.0049|~|~|~|~|~|18.446926|~|16.113|15.537|15.216|~
100|2MASS J08471287+1156591|08 47 12.8833093368 +11 56 59.103265740|1.4973|44.755100|~|~|~|~|15.271552|~|13.613|13.029|12.895|~
100|2MASS J08471677+1153594|08 47 16.7885830200 +11 53 59.349145416|0.6246|-35.327900|~|~|~|~|14.000958|~|12.571|12.138|12.030|~
100|2MASS J08471940+1147513|08 47 19.3916657112 +11 47 51.403741044|3.4314|8.7|~|~|~|~|14.546058|~|12.706|12.044|11.878|~
100|2MASS J08471960+1200558|08 47 19.6006985880 +12 00 55.855574028|0.1559|69.999901|~|~|~|~|15.514709|~|14.078|13.707|13.551|~
100|2MASS J08472163+1305195|08 47 21.6281322910 +13 05 19.575947215|0.1792|78.178596|~|~|~|~|14.011725|~|12.407|11.846|11.705|~
100|2MASS J08472472+1123510|08 47 24.7161026376 +11 23 51.017010468|1.1798|~|~|~|~|~|17.127523|~|15.196|14.545|14.314|~
100|2MASS J08472719+1207438|08 47 27.1948029648 +12 07 43.784684220|0.4718|68.020302|~|~|~|~|12.264606|~|10.712|10.161|10.025|~
100|2MASS J08472830+1122142|08 47 28.3079636808 +11 22 14.167908264|0.7572|18.729401|~|~|~|~|12.755904|~|11.225|10.683|10.572|~
100|2MASS J08473194+1227282|08 47 31.9395517752 +12 27 28.291469868|1.1465|~|~|~|~|~|17.583546|~|15.478|14.888|14.952|~
100|2MASS J08473204+1117387|08 47 32.0446555704 +11 17 38.722766640|1.6446|-12.637400|~|~|~|~|14.388621|~|12.951|12.480|12.336|~
100|2MASS J08473407+1146061|08 47 34.0703367552 +11 46 06.105201456|2.1441|14.322700|~|~|~|~|14.296455|~|12.951|12.514|12.410|~
94|2MASS J08473747+1104123|08 47 37.4740388472 +11 04 12.334719180|1.0608|~|~|~|~|~|16.958960|~|15.152|14.500|14.336|~
100|2MASS J08473905+1216397|08 47 39.0583845088 +12 16 39.666093456|2.4572|11.898300|~|~|~|~|15.931749|~|13.761|13.041|12.908|M0.8
0|2MASS J08474075+1214417|08 47 40.7489951064 +12 14 41.688331404|2.2759|-11.122100|~|~|~|~|14.773335|~|12.959|12.357|12.248|~
0|2MASS J08474187+1214007|08 47 41.8693133640 +12 14 00.633636312|0.4616|71.330101|~|~|~|~|13.469939|~|11.906|11.379|11.276|~
100|2MASS J08474335+1148349|08 47 43.3570467816 +11 48 35.065372320|~|66.244904|~|~|~|~|15.390398|~|13.903|13.335|13.235|~
100|2MASS J08474422+1147248|08 47 44.2227317736 +11 47 24.912494988|0.5814|35.823502|~|~|~|~|14.200870|~|12.829|12.321|12.238|~
100|2MASS J08474538+1036202|08 47 45.3911137607 +10 36 20.116625760|0.3830|-7.428930|~|~|~|~|14.540698|~|13.061|12.533|12.453|~
100|2MASS J08474835+1213249|08 47 48.3532938240 +12 13 24.923669772|0.5721|76.316704|~|~|~|~|14.006058|~|12.545|12.099|11.960|~
0|2MASS J08474835+1216307|08 47 48.3495616872 +12 16 30.574400376|3.7538|36.869499|~|~|~|~|13.233225|~|11.802|11.327|11.261|~
100|2MASS J08474967+1209048|08 47 49.6688039040 +12 09 04.770667656|1.7826|-13.173700|~|~|~|~|11.531828|~|10.647|10.454|10.414|~
0|2MASS J08475214+1226481|08 47 52.1489653368 +12 26 48.061122504|~|50.096500|~|~|~|~|15.180680|~|13.626|13.087|12.949|~
100|2MASS J08475226+1138067|08 47 52.2657981144 +11 38 06.577939644|1.5788|44.385399|~|~|~|~|15.479119|~|13.830|13.273|13.176|~
100|2MASS J08475360+1052557|08 47 53.6014021992 +10 52 55.774268220|1.2398|78.675598|~|11.27|10.18|~|9.919602|~|8.296|7.714|7.596|~
